Designator,Mid X,Mid Y,Rotation,Layer
R332,300.4185,130.302,180.0,top
R333,300.4185,133.477,0.0,top
R334,294.0685,222.711,270.0,top
R335,296.6085,222.711,270.0,top
R336,300.4185,139.827,0.0,top
R339,300.4185,113.157,180.0,top
R401,329.8825,211.836,90.0,top
R402,82.423,200.9775,180.0,top
R403,82.423,203.5175,180.0,top
R404,82.423,195.8975,180.0,top
R405,81.153,206.7306,180.0,top
R406,16.7005,215.0745,0.0,top
R408,325.9455,211.836,90.0,top
R409,9.3345,236.728,180.0,top
R501,158.2225,195.329,270.0,top
R502,160.7625,195.329,270.0,top
R503,163.3025,195.329,90.0,top
R504,168.3825,195.329,270.0,top
R505,165.8425,195.329,270.0,top
R506,170.9225,195.329,90.0,top
R507,173.4625,195.329,90.0,top
R711,262.0645,160.909,180.0,top
R712,262.0645,158.369,180.0,top
R713,281.935501,164.719,0.0,top
R911,250.3805,105.537,0.0,top
R914,186.055,59.69,0.0,top
R915,232.8545,128.397,270.0,top
R916,192.5955,128.397,90.0,top
R98,201.295,174.879,0.0,top
R99,201.295,178.689,0.0,top
RP101,216.281,160.8455,180.0,top
RP102,47.3075,115.316,270.0,top
RP103,42.2275,161.4805,180.0,top
RP104,30.1625,23.876,90.0,top
RP105,207.3969,134.747,180.0,top
RP106,16.7005,110.236,270.0,top
RP107,51.1175,115.316,270.0,top
RP108,16.7005,67.056,270.0,top
RP109,114.3,39.37,0.0,top
RP110,51.7525,59.436,270.0,top
RP111,178.435,39.37,180.0,top
RP201,116.205,21.59,90.0,top
RP202,126.365,21.59,90.0,top
RP203,168.91,35.56,0.0,top
RP401,349.548,197.8055,0.0,top
RP402,40.8745,220.729,180.0,top
RP403,40.8745,217.554,180.0,top
RP501,135.807,218.2525,180.0,top
TC9,208.5975,69.8265,270.0,top
U1,32.0734,89.916,180.0,top
U10,164.5979,108.5753,270.0,top
U11,159.4544,84.9533,270.0,top
U12,200.2849,107.3688,270.0,top
U13,195.2049,83.8103,270.0,top
U14,283.8255,132.845,0.0,top
U15,284.4605,192.7255,270.0,top
U16,148.7925,45.72,180.0,top
U17,53.213,22.601,0.0,top
U18,76.835,22.855,0.0,top
U19,65.024,22.733,0.0,top
U2,109.8355,101.346,270.0,top
U3,130.7524,146.8658,270.0,top
U32,167.639999,27.94,270.0,top
U33,40.9575,168.148,270.0,top
U34,107.315,21.59,0.0,top
U35,135.89,21.59,0.0,top
U36,283.1905,206.121,270.0,top
U37,283.1905,171.707,270.0,top
U38,185.633143,195.2655,270.0,top
U39,185.633143,209.299,270.0,top
U4,38.3599,184.3943,270.0,top
U40,20.5799,201.6663,90.0,top
U41,51.0599,201.6663,90.0,top
U42,287.064,157.6735,270.0,top
U5,209.9369,146.8658,270.0,top
U6,70.2945,75.946,0.0,top
U7,123.107,204.8413,270.0,top
U8,235.9719,196.5228,270.0,top
U9,186.944,67.2465,270.0,top
U90,345.7651,237.363,90.0,top
U91,340.8527,237.363,90.0,top
U92,331.0279,237.363,90.0,top
U93,335.9403,237.363,90.0,top
U94,68.6695,235.7755,270.0,top
V0,331.851,147.701,0.0,top
V2,336.55,174.752,0.0,top
X1,67.7545,146.752001,90.0,top
Y9,202.184,69.723,180.0,top
