"Reference","Qty","Value","Footprint","MFG Name","MFG Part Num","Mouser"
"R405","1","0.47","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","VISHAY","PR01000104707JA500 ","594-PR01000104707JA5 "
"R409","1","150","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","YAGEO","MFR-25FBF52-150R","603-MFR-25FBF52-150R"
"R507","1","100","Raemixx500:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","YAGEO","MFR-25FBF52-100R","603-MFR-25FBF52-100R"
"R711","1","1M","Raemixx500:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","YAGEO","MFR-25FBF52-1M","603-MFR-25FBF52-1M"
"R712","1","47k","Raemixx500:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","YAGEO","MFR-25FBF52-47K","603-MFR-25FBF52-47K"
"R911","1","470","Raemixx500:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","YAGEO","MFR-25FBF52-470R","603-MFR-25FBF52-470R"
"RP101,RP102,RP105,RP106,RP107,RP401","6","4.7k","Resistor_THT:R_Array_SIP10","BOURNS","4610X-101-472LF ","652-4610X-1LF-4.7K"
"RP103","1","39","Resistor_THT:R_Array_SIP10","BOURNS","4610X-102-390LF","652-4610X-2LF-39"
"RP104","1","470","Resistor_THT:R_Array_SIP10","BOURNS","4610X-101-471LF ","652-4610X-1LF-470 "
"RP201,RP202,RP203","3","68","Resistor_THT:R_Array_SIP10","BOURNS","4610X-102-680LF ","652-4610X-2LF-68 "
"RP402,RP403","2","47","Resistor_THT:R_Array_SIP10","BOURNS","4610X-102-470LF","652-4610X-2LF-47"
"RP501","1","10K","Resistor_THT:R_Array_SIP10","BOURNS","4610X-101-103LF","652-4610X-1LF-10K "
"TC9","1","12pF - 40pF","Raemixx500:VariCap","","JML06-1 / 40PF / YELLOW",""
"U1","1","68000D","Package_DIP:DIP-64_W22.86mm_Socket_LongPads","MILL-MAX","110-93-964-41-001000","575-193964 "
"U2","1","FAT_AGNUS_8375","Package_LCC:PLCC-84_THT-Socket","MILL-MAX","940-44-084-24-000000 ","575-948424 "
"U3","1","PAULA","Package_DIP:DIP-48_W15.24mm_Socket_LongPads","3M","4848-6000-CP ","517-4848-6000-CP "
"U4","1","DENISE","Package_DIP:DIP-48_W15.24mm_Socket_LongPads","3M","4848-6000-CP ","517-4848-6000-CP "
"U5","1","GARY_5719","Package_DIP:DIP-48_W15.24mm_Socket_LongPads","3M","4848-6000-CP ","517-4848-6000-CP "
"U6","1","ROM","Package_DIP:DIP-42_W15.24mm_Socket_LongPads","3M","4842-6000-CP ","517-4842-6000-CP "
"U7,U8","2","VIA_8520","Package_DIP:DIP-40_W15.24mm_Socket_LongPads","3M","4840-6000-CP ","517-4840-6000-CP "
"U9","1","MSM6242B","Package_DIP:DIP-18_W7.62mm_Socket_LongPads","3M","4818-3000-CP ","517-4818-3000-CP "
"U10,U12","2","74LS244","Package_DIP:DIP-20_W7.62mm_LongPads","TI","SN74LS244N ","595-SN74LS244N "
"U11,U13","2","74LS373","Package_DIP:DIP-20_W7.62mm_LongPads","TI","SN74LS373N","595-SN74LS373N "
"U14","1","LF347","Package_DIP:DIP-14_W7.62mm_LongPads","TI","LF347N ","595-LF347N "
"U15","1","74LS157","Package_DIP:DIP-16_W7.62mm_LongPads","TI","SN74LS157N ","595-SN74LS157N "
"U16","1","SIMM","Raemixx500:SIMM_TE_Connectivity_5822134-3","TE CONNECTIVITY","5822134-3","571-5822134-3 "
"U17","1","74F08","Package_DIP:DIP-14_W7.62mm_LongPads","TI","SN74F08N ","595-SN74F08N "
"U18","1","74F74","Package_DIP:DIP-14_W7.62mm_LongPads","TI","SN74F74N ","595-SN74F74N "
"U19","1","74F00","Package_DIP:DIP-14_W7.62mm_LongPads","TI","SN74F00N ","595-SN74F00N "
"U32","1","74F139","Package_DIP:DIP-16_W7.62mm_LongPads","TI","CD74ACT139E ","595-CD74ACT139E "
"U33","1","74F258","Package_DIP:DIP-16_W7.62mm_LongPads","TI","SN74F258N ","595-SN74F258N "
"U34,U35","2","74F244","Package_DIP:DIP-20_W7.62mm_LongPads","TI","SN74F244N ","595-SN74F244N "
"U36","1","74LS05","Package_DIP:DIP-14_W7.62mm_LongPads","TI","SN74LS05N ","595-SN74LS05N "
"U37","1","74LS32","Package_DIP:DIP-14_W7.62mm_LongPads","TI","SN74LS32N ","595-SN74LS32N "
"U38","1","MC1488","Package_DIP:DIP-14_W7.62mm_LongPads","TI","SN75C188N ","595-SN75C188N "
"U39","1","MC1489","Package_DIP:DIP-14_W7.62mm_LongPads","TI","SN75C189N ","595-SN75C189N "
"U40,U41","2","74HCT245","Package_DIP:DIP-20_W7.62mm_LongPads","TI","SN74HCT245N ","595-SN74HCT245N "
"U42","1","NE555","Package_DIP:DIP-8_W7.62mm_LongPads","TI","SA555P ","595-SA555P "
"X1","1","XTAL","Oscillator:Oscillator_DIP-14","","",""
"Y9","1","32.768kHz","Raemixx500:Crystal_RTC","ECS","ECS-.327-12.5-13X ","520-TFC2X6-X "
